     46 species:ncbi:57982	tiburón peregrino
     46 species:ncbi:54375	avutarda
     46 species:ncbi:4122	Convolvulus
     46 species:ncbi:3833	retama
     46 species:ncbi:33574	Threskiornithidae
     46 species:ncbi:33554	Carnivora
     46 species:ncbi:172412	azulejos
     45 species:ncbi:9224	Psittacidae
     45 species:ncbi:9031	Bantam
     45 species:ncbi:7524	Hemiptera
     45 species:ncbi:74111	convicto
     45 species:ncbi:61221	dragón de Komodo
     45 species:ncbi:5658	Leishmania
     45 species:ncbi:4034	Oxalis
     45 species:ncbi:40151	narval
     45 species:ncbi:38942	Quercus robur
     45 species:ncbi:37040	colimbo chico
     45 species:ncbi:172684	sisón
     45 species:ncbi:13450	avellano
     44 species:ncbi:9973	pangolín
     44 species:ncbi:9807	rinoceronte blanco
     44 species:ncbi:9655	Mustelidae
     44 species:ncbi:9370	Echinops
     44 species:ncbi:7462	Apis dorsata
     44 species:ncbi:54375	avutardas
     44 species:ncbi:4667	Liliales
     44 species:ncbi:41219	Gloriosa
     44 species:ncbi:40156	maniquí
     44 species:ncbi:3865	Leucaena
     44 species:ncbi:24663	Physalis
     44 species:ncbi:21555	Erodium
     44 species:ncbi:1903720	Bacillus
     44 species:ncbi:1301	Streptococcus
     44 species:ncbi:1237510	acebo
     43 species:ncbi:9902	bisonte europeo
     43 species:ncbi:9828	pecarí
     43 species:ncbi:9162	pita
     43 species:ncbi:583	Proteus
     43 species:ncbi:4112	Solanum nigrum
     43 species:ncbi:3367	Cupressaceae
     43 species:ncbi:28700	frailecillo
     43 species:ncbi:1239	Firmicutes
     42 species:ncbi:9805	rinoceronte negro
     42 species:ncbi:9604	Hominidae
     42 species:ncbi:9598	Pan troglodytes
     42 species:ncbi:95911	hiena
     42 species:ncbi:8821	kiwis
     42 species:ncbi:82024	jacinto
     42 species:ncbi:6202	tenia
     42 species:ncbi:57663	piquero
     42 species:ncbi:57398	Aulacorhynchus
     42 species:ncbi:50557	Insecta
     42 species:ncbi:47100	Galega
     42 species:ncbi:41489	Bahia
     42 species:ncbi:39992	Terminalia
     42 species:ncbi:37049	Podiceps
     42 species:ncbi:34923	Pica
     42 species:ncbi:287	Pseudomonas aeruginosa
     42 species:ncbi:267975	tejedores
     42 species:ncbi:191157	Flourensia
     42 species:ncbi:10566	virus del papiloma humano
     42 species:ncbi:10141	cuy
     41 species:ncbi:9658	Martes
     41 species:ncbi:9578	gibón
     41 species:ncbi:9122	Gallinula
     41 species:ncbi:9081	ave galliforme
     41 species:ncbi:76072	milano
     41 species:ncbi:5507	Fusarium oxysporum
     41 species:ncbi:55039	Urocyon
     41 species:ncbi:54578	Cyanocorax
     41 species:ncbi:4575	Zea
     41 species:ncbi:41773	Berberidaceae
     41 species:ncbi:3898	Trifolium
     41 species:ncbi:37613	Vidua
     41 species:ncbi:3564	amaranto
     41 species:ncbi:259920	tiburón ballena
     41 species:ncbi:2559587	virus ARN
     41 species:ncbi:1301	estreptococo
     41 species:ncbi:108405	charrán común
     41 species:ncbi:100822	ibis eremita
     41 species:ncbi:10026	hámster
     40 species:ncbi:9658	marta
     40 species:ncbi:9599	Pongo
     40 species:ncbi:9221	Colaptes
     40 species:ncbi:8924	cóndor andino
     40 species:ncbi:8790	emú
     40 species:ncbi:810	Chlamydia
     40 species:ncbi:57380	Bucerotidae
     40 species:ncbi:4681	puerro
     40 species:ncbi:4496	Avena
     40 species:ncbi:3515	aliso
     40 species:ncbi:3482	Cannabis
     40 species:ncbi:3395	Cycas
     40 species:ncbi:30532	gamo
     40 species:ncbi:10358	CMV
     39 species:ncbi:9520	Saimiri
     39 species:ncbi:9476	Tarsius
     39 species:ncbi:9220	Picidae
